1969
1,207
2,333
3,462
4,506
5,549
6,813
7,838
8,1096
9,1184
10,1887
12,2381
13,2075
14,1998
15,2095
16,2214
17,3327
18,2511
19,3106
20,2801
21,2663
22,2215
23,2218
24,1897
25,1878
26,1016
27,667
28,708
29,547
30,413
31,335
32,371
33,336
34,320
35,218
36,206
37,231
38,308
39,319
40,331
41,337
42,312
43,345
44,289
45,425
46,443
47,490
48,375
49,547
50,549
51,628
52,426
